Description,Key,Title
Begindatum voor 1830,GM0085,Ooststellingwerf
Begindatum voor 1830,GM0431,Oostzaan
Begindatum voor 1830,GM0432,Opmeer
Begindatum voor 1830,GM0086,Opsterland
"Gemeentelijke herindeling per 01-01-2015
Gemeentelijke herindeling per 01-01-2011
Gemeentelijke herindeling per 01-01-2003
Gemeentelijke herindeling per 01-01-1994
Begindatum voor 1830",GM0828,Oss
Begindatum voor 1830,GM0584,Oud-Beijerland
Ontstaan per 01-01-2005,GM1509,Oude IJsselstreek
Begindatum voor 1830,GM0437,Ouder-Amstel
"Provinciale wijziging per 01-09-1970
Begindatum voor 1830",GM0589,Oudewater
Ontstaan per 01-01-2001,GM1734,Overbetuwe
Begindatum voor 1830,GM0590,Papendrecht
Ontstaan per 01-01-2010,GM1894,Peel en Maas
Ontstaan per 01-01-1990,GM0765,Pekela
Ontstaan per 01-01-2002,GM1926,Pijnacker-Nootdorp
Begindatum voor 1830,GM0439,Purmerend
Begindatum voor 1830,GM0273,Putten
"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830",GM0177,Raalte
Ontstaan per 01-01-1970,GM0703,Reimerswaal
Begindatum voor 1830,GM0274,Renkum
Begindatum voor 1830,GM0339,Renswoude
Ontstaan per 01-01-1997,GM1667,Reusel-De Mierden
Begindatum voor 1830,GM0275,Rheden
Begindatum voor 1830,GM0340,Rhenen
Begindatum voor 1830,GM0597,Ridderkerk
"Opgeheven per 01-01-2018
Ontstaan per 01-01-1985",GM0196,Rijnwaarden
Naamswijziging per 15-03-2003,GM1742,Rijssen-Holten
Begindatum voor 1830,GM0603,Rijswijk (ZH.)
"Gemeentelijke herindeling per 01-01-2007
Naamswijziging per 01-01-1993",GM1669,Roerdalen
"Gemeentelijke herindeling per 01-01-2007
Gemeentelijke herindeling per 01-01-1991
Begindatum 02-01-1839",GM0957,Roermond
"Gemeentelijke herindeling per 01-01-2011
Ontstaan per 01-01-1989",GM0736,De Ronde Venen
Ontstaan per 01-01-1997,GM1674,Roosendaal
Begindatum voor 1830,GM0599,Rotterdam
Begindatum voor 1830,GM0277,Rozendaal
Begindatum voor 1830,GM0840,Rucphen
"Gemeentelijke herindeling per 01-01-2013
Begindatum voor 1830",GM0441,Schagen
Begindatum voor 1830,GM0279,Scherpenzeel
Begindatum voor 1830,GM0606,Schiedam
Begindatum voor 1830,GM0088,Schiermonnikoog
Begindatum 02-01-1839,GM0962,Schinnen
Ontstaan per 01-01-1997,GM1676,Schouwen-Duiveland
Begindatum 02-01-1839,GM0965,Simpelveld
Naamswijziging per 04-07-1995,GM1702,Sint Anthonis
"Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830",GM0845,Sint-Michielsgestel
Ontstaan per 01-01-2001,GM1883,Sittard-Geleen
Begindatum voor 1830,GM0610,Sliedrecht
"Opgeheven per 01-01-2018
Begindatum voor 1830",GM0040,Slochteren
Ontstaan per 01-01-2003,GM1714,Sluis
Begindatum voor 1830,GM0090,Smallingerland
Begindatum voor 1830,GM0342,Soest
Begindatum voor 1830,GM0847,Someren
Begindatum voor 1830,GM0848,Son en Breugel
Ontstaan per 01-01-1969,GM0037,Stadskanaal
Begindatum voor 1830,GM0180,Staphorst
Ontstaan per 01-01-1979,GM0532,Stede Broec
"Gemeentelijke herindeling per 01-01-1997
Naamswijziging per 25-06-1962",GM0851,Steenbergen
Naamswijziging per 01-01-2003,GM1708,Steenwijkerland
Begindatum 02-01-1839,GM0971,Stein (L.)
Ontstaan per 01-01-2011,GM1904,Stichtse Vecht
Begindatum voor 1830,GM0617,Strijen
"Gemeentelijke herindeling per 01-01-2018
Ontstaan per 01-01-2011",GM1900,Súdwest-Fryslân
"Gemeentelijke herindeling per 01-01-2003
Begindatum voor 1830",GM0715,Terneuzen
"Provinciale wijziging per 01-09-1942
Begindatum voor 1830",GM0093,Terschelling
Begindatum voor 1830,GM0448,Texel
Ontstaan per 01-01-2006,GM1525,Teylingen
"Gemeentelijke herindeling per 01-01-1995
Begindatum voor 1830",GM0716,Tholen
Begindatum voor 1830,GM0281,Tiel
"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",GM0855,Tilburg
Begindatum voor 1830,GM0183,Tubbergen
Naamswijziging per 01-06-2002,GM1700,Twenterand
Naamswijziging per 01-12-1999,GM1730,Tynaarlo
Naamswijziging per 01-01-1989,GM0737,Tytsjerksteradiel
Begindatum voor 1830,GM0856,Uden
Begindatum voor 1830,GM0450,Uitgeest
Begindatum voor 1830,GM0451,Uithoorn
"Provinciale wijziging per 01-01-1986
Begindatum voor 1830",GM0184,Urk
"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830",GM0344,Utrecht (gemeente)
Ontstaan per 01-01-2006,GM1581,Utrechtse Heuvelrug
Begindatum 02-01-1839,GM0981,Vaals
Ontstaan per 01-01-1982,GM0994,Valkenburg aan de Geul
Begindatum voor 1830,GM0858,Valkenswaard
Begindatum voor 1830,GM0047,Veendam
Begindatum voor 1830,GM0345,Veenendaal
"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",GM0717,Veere
Naamswijziging per 01-05-1921,GM0861,Veldhoven
Begindatum voor 1830,GM0453,Velsen
"Gemeentelijke herindeling per 01-01-2010
Gemeentelijke herindeling per 01-01-2001
Begindatum 02-01-1839",GM0983,Venlo
Begindatum 02-01-1839,GM0984,Venray
"Provinciale wijziging per 01-01-2002
Begindatum voor 1830",GM0620,Vianen
Begindatum voor 1830,GM0622,Vlaardingen
"Opgeheven per 01-01-2018
Begindatum voor 1830",GM0048,Vlagtwedde
"Provinciale wijziging per 01-09-1942
Begindatum voor 1830",GM0096,Vlieland
Begindatum voor 1830,GM0718,Vlissingen
Begindatum 02-01-1839,GM0986,Voerendaal
Begindatum voor 1830,GM0626,Voorschoten
Begindatum voor 1830,GM0285,Voorst
Begindatum voor 1830,GM0865,Vught
Begindatum voor 1830,GM0866,Waalre
"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",GM0867,Waalwijk
Begindatum 01-07-1870,GM0627,Waddinxveen
Begindatum voor 1830,GM0289,Wageningen
Begindatum voor 1830,GM0629,Wassenaar
Ontstaan per 01-01-1991,GM0852,Waterland
"Gemeentelijke herindeling per 01-01-1998
Begindatum 02-01-1839",GM0988,Weert
Begindatum voor 1830,GM0457,Weesp
"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",GM0870,Werkendam
Naamswijziging per 01-07-1985,GM0668,West Maas en Waal
Ontstaan per 01-01-1998,GM1701,Westerveld
Begindatum voor 1830,GM0293,Westervoort
Ontstaan per 01-01-2004,GM1783,Westland
Begindatum voor 1830,GM0098,Weststellingwerf
Ontstaan per 01-01-1980,GM0614,Westvoorne
Begindatum voor 1830,GM0189,Wierden
Begindatum voor 1830,GM0296,Wijchen
Ontstaan per 01-01-2002,GM1696,Wijdemeren
"Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830",GM0352,Wijk bij Duurstede
Begindatum voor 1830,GM0053,Winsum
Begindatum voor 1830,GM0294,Winterswijk
"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",GM0873,Woensdrecht
"Gemeentelijke herindeling per 01-01-2001
Provinciale wijziging per 01-01-1989
Begindatum voor 1830",GM0632,Woerden
Ontstaan per 01-01-1998,GM1690,De Wolden
Ontstaan per 01-01-1991,GM0880,Wormerland
Begindatum voor 1830,GM0351,Woudenberg
Begindatum voor 1830,GM0874,Woudrichem
Ontstaan per 01-01-1974,GM0479,Zaanstad
"Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830",GM0297,Zaltbommel
Begindatum voor 1830,GM0473,Zandvoort
Ontstaan per 01-01-1986,GM0707,Zederik
Ontstaan per 01-01-1984,GM0050,Zeewolde
Begindatum voor 1830,GM0355,Zeist
"Gemeentelijke herindeling per 01-01-2018
Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830",GM0299,Zevenaar
Begindatum voor 1830,GM0637,Zoetermeer
Begindatum voor 1830,GM0638,Zoeterwoude
Begindatum voor 1830,GM0056,Zuidhorn
Ontstaan per 01-01-2010,GM1892,Zuidplas
"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830",GM0879,Zundert
"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830",GM0301,Zutphen
Ontstaan per 01-01-2001,GM1896,Zwartewaterland
"Gemeentelijke herindeling per 01-01-2003
Begindatum voor 1830",GM0642,Zwijndrecht
Begindatum voor 1830,GM0193,Zwolle
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM01,Groningen (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM02,Friesland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM03,Drenthe (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM05,Twente (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM06,Stedendriehoek en Noordwest Veluwe (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM07,Midden-Gelderland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM08,Rijk van Nijmegen (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM09,Achterhoek (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM10,Rivierenland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM11,Flevoland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM12,Gooi en Vechtstreek (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM13,Midden-Utrecht (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM14,Amersfoort (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM15,Noord-Holland Noord (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM17,Zaanstreek/Waterland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM18,Groot Amsterdam (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM19,Holland Rijnland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM20,Midden-Holland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM21,Haaglanden (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM22,Rijnmond (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM23,Drechtsteden (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM24,Zeeland (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM25,West-Brabant (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM26,Midden-Brabant (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM27,Noordoost-Brabant (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM28,Zuidoost-Brabant (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM29,Noord-Limburg (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM30,Zuid-Limburg (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM32,Helmond-De Peel (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM33,Midden-Limburg (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM34,Zuid-Holland Centraal (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM35,Gorinchem (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM36,Regio Zwolle (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM37,Zuid-Kennemerland en IJmond (AM)
"AM = Arbeidsmarktregio

Een indeling in regio's van waaruit gemeenten en het Uitvoeringsinstituut Werknemersverzekeringen (UWV) de dienstverlening aan werkgevers en werkzoekenden vormgeven. Het is een regionaal niveau tussen gemeenten en provincies in. Deze indeling is van onderop, door gemeenten zelf, tot stand gekomen. De indeling is op 1 januari 2016 herzien en telt vanaf die datum 35 gebieden.",AM38,FoodValley (AM)
